Molecule,Dataset_Size,Variance,Std_Dev,Average_Euclidian_Distance_within_Task,Average_Hamming_Distance_within_Task,Average_Manhattan_Distance_within_Task
83,900,1.0011123470522802,1.000556018947605,4.266505139357279,0.09338184231712339,17.370411568409345
52,420,1.0023866348448687,1.0011926062675796,4.29775004965481,0.0941599968354013,17.556085918854414
81,900,1.0011123470522802,1.000556018947605,4.272701530257692,0.0925399000731322,17.28587319243604
80,854,1.0011723329425557,1.000585994776339,4.297369308826683,0.09433717849902522,17.57561547479484
76,900,1.0011123470522802,1.000556018947605,4.266797760133256,0.09319747540238078,17.352614015572858
25,58,1.0175438596491229,1.0087337902782492,4.41426829592984,0.09770282058738006,18.31578947368421
85,900,1.0011123470522802,1.000556018947605,4.276784266940712,0.09348017133831943,17.410456062291434
20,208,1.0048309178743962,1.002412548741483,4.27935616599387,0.09376251100968849,17.47826086956522
86,900,1.0011123470522802,1.000556018947605,4.276241448866511,0.09363995599776301,17.432703003337043
84,900,1.0011123470522802,1.000556018947605,4.263334504804737,0.0928287415728956,17.299221357063402
78,900,1.0011123470522802,1.000556018947605,4.311336140729077,0.09456179057147598,17.639599555061178
5,80,1.0126582278481013,1.0063092108532552,4.29529595134854,0.09434226169662212,17.569620253164558
30,358,1.0028011204481793,1.0013995808108667,4.316735881020205,0.09500595818437872,17.708683473389357
2,94,1.010752688172043,1.0053619687316817,3.031531637841614,0.04788213627992634,9.161290322580646
55,422,1.002375296912114,1.0011869440379824,4.27559630732134,0.09377829687274446,17.44893111638955
87,796,1.0012578616352201,1.0006287331649137,4.281035296539762,0.09354737829667466,17.438993710691825
46,112,1.009009009009009,1.0044944046678452,4.329070677476301,0.09471902842068587,17.71171171171171
12,98,1.0103092783505154,1.0051414220648334,3.0402710284635535,0.04852765278806174,9.278350515463918
61,162,1.0062111801242235,1.003100782635635,4.16876870467712,0.08904979238873063,16.58385093167702
67,208,1.0048309178743962,1.002412548741483,4.265489552931171,0.09237462300157472,17.256038647342994
90,42,1.024390243902439,1.0121216546949479,4.268548355662165,0.09324888828998786,17.365853658536587
91,368,1.002724795640327,1.0013614710184964,4.2601362556612195,0.09273337648847604,17.275204359673026
22,98,1.0103092783505154,1.0051414220648334,3.967751382949566,0.08247422680412371,15.422680412371134
89,172,1.0058479532163742,1.002919714242558,4.326610553097512,0.09563503602468418,17.81286549707602
57,172,1.0058479532163742,1.002919714242558,4.180511363495624,0.0889470453297147,16.596491228070175
6,78,1.0129870129870129,1.006472559480393,3.0641317491889333,0.049077993829375034,9.2987012987013
28,58,1.0175438596491229,1.0087337902782492,4.2078161890446815,0.0906271202869051,16.87719298245614
9,88,1.0114942528735633,1.0057307059414877,3.2966901766754737,0.0539785355940814,10.436781609195402
24,196,1.005128205128205,1.002560823655206,4.235212410377827,0.09179770505737356,17.097435897435897
27,154,1.0065359477124183,1.0032626514091005,4.304916595685419,0.09464485610081969,17.633986928104576
59,212,1.004739336492891,1.0023668672162358,4.172650140994389,0.08910476290225446,16.597156398104264
70,106,1.0095238095238095,1.004750620564033,4.239355265922595,0.09260720862930807,17.238095238095237
92,136,1.0074074074074073,1.0036968702787745,3.8940488240970748,0.07963986085533048,14.933333333333334
18,22,1.0476190476190477,1.023532631438318,3.1608284455948397,0.056564062088923964,10.571428571428571
10,68,1.0149253731343284,1.0074350466081317,3.2084925396429487,0.05326956378329347,10.119402985074627
