Task_1,Task_2,Average_Euclidean_Distance,Average_Manhattan_Distance,Average_Euclidean_Distance_after_Scaling,Average_Manhattan_Distance_after_Scaling
1,2,3.2935325961660555,7.710749236443672,2.06705696708603,4.710039369326326
1,3,3.1034986365820876,9.082065327768829,2.009322861857888,4.67196693498452
1,4,2.8974620092448764,7.5974887885817575,1.7596307867749357,3.785316886199122
1,5,2.724253846171247,6.589254817479236,2.0514934904978888,4.606125141843972
1,6,2.3370535718072762,5.389055010111275,2.0016432262285058,4.385950337381916
1,7,2.824962482412479,6.352579897577664,1.9033985668965876,4.06761914893617
1,8,3.609561255323032,8.676580917518983,2.057398774445222,4.614350442477876
1,9,4.480452444582279,12.031106677263233,1.941523213316373,4.353158241852487
1,10,3.4828400824761774,9.257351982329093,1.9558597198102128,4.42618737928738
1,11,3.249574060669076,8.574619641440217,1.8557218757010363,4.108383875968992
1,12,2.9654274067063753,7.911869161365986,1.9106623629763606,4.2412389380530975
1,13,3.15171297665131,7.977129938493314,2.0550293280170053,4.836812229885058
1,14,3.9760766175681286,10.883202443619192,1.9800735164961882,4.336428143021915
1,15,3.826037255402046,9.234611248984033,1.9352568210931296,4.284614814814814
1,16,2.6471249651506734,5.881612964876816,1.9123048821000468,4.1947729853088
1,17,3.074330391319774,8.87655856622881,1.9611525585131107,4.499932766990291
1,18,3.046395743309721,8.25795789886712,2.0559941635185606,4.6928977864089925
1,19,3.6146774701003666,10.42333483959895,1.9703356172559354,4.377975267506433
1,20,2.872231988481965,7.185770936470694,1.9195784819968356,4.289143827755589
1,21,2.6620140674005355,6.616816891590466,1.906237632984675,4.264532522903453
1,22,3.6565533725662447,10.286101099646071,2.0909011826521633,4.807596700336701
1,23,3.2984562998944833,8.771985815227588,1.9908802148865319,4.4906652315720805
1,24,3.5688060833472433,8.955662608629732,2.026052529191094,4.715409368253074
1,25,3.3963715938954455,8.181028966966522,2.1235930461603125,4.859936111111111
1,26,3.39255305355374,8.353654394913805,2.0523922675433344,4.581473242483236
1,27,3.9668498526428695,10.699541182047062,1.9896818025386025,4.432138042663396
1,28,4.102280626811984,11.214446548484561,2.02068942472407,4.500018909936856
1,29,3.2988338551548964,9.527437733808624,2.056019597805666,4.647859193604448
