Task_Name,Dataset_Size,Variance,Std_Dev,Average_Euclidian_Distance_within_Task,Average_Manhattan_Distance_within_Task,Average_Euclidian_Distance_within_Task_after_Scaling,Average_Manhattan_Distance_within_Task_after_Scaling
1,149,11.775582198955,3.3591843007456794,13.267285754378923,17.11560476763513,0.9625896191492366,3.386368231448051
2,145,5.964461848323424,2.442112377763353,14.104643473329245,17.764561933124998,0.8894415071885393,3.1098145322567623
3,144,10.908340487798998,3.034366871170777,13.098971571499561,16.846251207342654,0.8962605343628047,3.141647322860251
4,137,11.310738349139537,3.279424624045245,13.564532296081197,17.473035957794114,0.8276113293137937,2.8073553553107766
5,156,1.7161485106837613,1.2603920609980315,16.01793343610292,18.815191303741937,0.8425159361855199,2.948237454634883
6,156,3.0202850687664347,1.6443545140102693,12.984531021645935,15.884122494709677,0.8619783819114554,3.03805089619228
7,161,2.2125417986188802,1.4762194586380253,13.006889986879207,15.513303817000002,0.8506767449954598,2.982153814401112
8,150,2.5176345529333335,1.5867055659237266,14.61252431244204,18.027120581208052,0.5792245517456267,1.9733720647435797
9,152,1.8878832336824791,1.3533840730063367,14.197045465436519,16.801982441920533,0.6549799444357106,2.2491679040692514
10,148,1.8940805826333094,1.3351693828234632,13.472183504648706,15.99368977952381,0.8113241949671771,2.725791498207802
11,138,4.917034576139468,2.214458682632053,14.342343900880465,17.14309822072993,0.80360962678183,2.8542924707519024
12,107,5.828854377325532,2.3977143711779436,16.991610836691137,20.104120543113208,0.8858541111136813,3.081581847990117
13,112,13.271940995854592,3.6430611623585376,17.651696750194972,22.712606092072075,0.8465881372974007,2.8925697516150746
14,136,18.861734586855537,4.333389715819509,14.31167207101471,18.177486011555555,0.3589760973868477,1.011851930095447
15,143,5.305609815677538,2.250328569844216,15.277748457467348,18.759410445,0.7113408977329535,2.457028676923244
16,138,3.096581054490915,1.4483903532327764,13.290202385660464,15.945881325620437,0.9307789935688002,3.25732278025994
17,144,19.23894892869888,4.3847568088797635,14.257705381590654,18.667285788111887,0.591179745877328,1.996174929057503
18,126,0.09839578939184931,0.31290861115488056,15.133461818720995,17.916459739520004,0.798384447739744,2.6934532367251305
19,129,0.45858193449912854,0.6761373855328201,15.221246628072668,18.068296041718746,0.8918900047241609,3.208819369162742
20,134,0.44217485770773,0.6648431883115131,15.057479657405326,17.632987287669174,0.6873472934119722,2.350933859130128
21,123,15.779414257452578,3.971866841818491,16.249890907616884,21.037864070573768,1.0810225744366775,3.822776141026417
22,112,3.9340720209291296,1.9538432169764017,15.611457857080671,19.227626546396397,0.8907971717978599,3.0846174859412145
23,138,2.6395159737712666,1.480015171315034,13.773744021923177,16.12903029948905,0.7579833700354441,2.675984150811073
24,156,1.351684159742768,1.125876714807691,12.797530880651678,15.060543136903227,0.9706057262352783,3.3751605553123
25,144,8.8030736756848,2.9608723359925158,13.548595481814353,16.618268371958045,0.7501133526296039,2.6416329056670538
26,130,4.905400793254437,2.1601785174151753,16.533594937036106,20.815042140542637,0.9474153828860492,3.2949027445932684
27,129,3.56424340491557,1.8593899891894856,15.52236579781995,18.8545510265625,0.8121926093858167,2.7068880756230316
28,134,16.35035144556137,3.925191709101742,14.153898089819542,17.89200022548872,0.8659035948809917,2.9488571844501714
29,168,2.589613063704649,1.5673514996423972,13.971738284606605,16.700976011856287,0.902509924376536,3.1043903987778596
30,126,18.399556362591333,4.27996488582591,15.304836710399108,20.231241282719996,0.5631753467589882,1.7167921525257062
31,130,14.521741087278105,3.80263207115864,16.719556127817942,20.98877156968992,0.7916004143581715,2.7985694474246103
32,101,11.17355578046368,3.332104119388653,18.84818247037342,23.017747296300005,0.852642324200205,2.9899134513687846
33,135,3.3766824271604943,1.82843608644695,14.6014266718182,18.11726150798507,0.7996561264618706,2.7322570110088584
34,161,3.452454554492496,1.8027668380843402,13.066247258101612,15.961787326000001,0.7001222611916142,2.4380654766947396
35,165,0.4494831188246099,0.6541098411085109,13.607305737434706,15.874291906951221,0.8173293317089807,2.855568629813452
36,129,3.322943745027342,1.822080491268288,14.960814314805754,19.292639702421873,0.9910234153501742,3.5171229429679136
37,140,20.721445119795924,4.550107691461868,14.591419436538839,19.85149546,0.6814132436993231,2.386364339687025
38,149,1.300418717850547,1.0806323671511684,13.532929662764518,16.414393620135133,0.9074620972251299,3.1171415848114705
39,143,9.185323700132038,3.021293716568869,13.484048977511145,17.62395093830986,0.5994137634241965,1.9954637609806496
40,142,1.6404535285905577,1.2176861531867977,14.00900346959846,17.043582821773047,0.7002116370092375,2.3922130188641155
41,165,6.243316960514234,2.4984807430066156,18.77344827628913,23.466442949146344,0.8244480458857993,2.968840243785474
42,150,4.298633440555555,2.057580890343102,13.595210229982237,16.826049350335573,0.6633651655121878,2.3832093803471137
